date,id,nb_mots,phrase,type
2026-01-19,1,14,كسكس: طبق مغربي تقليدي يتكون من حبيبات السميد المطهوة على البخار، ويُقدَّم مع اللحم أو الدجاج والخضروات.,plat
2026-01-19,2,40,طاجين بأنواعه: من أشهر الأطباق المغربية، يُحضَّر باللحم أو الدجاج مع الخضار، ومن أسهله طاجين الكفتة بالطماطم والبيض ويُقدَّم مع الخبز.,plat
2026-01-19,3,16,المروزية: طبق حلو فاخر يُحضَّر بلحم الضأن مع الزبيب واللوز والعسل، ويعتمد على توابل خاصة.,plat
2026-01-19,4,15,بسطيلة: طبق احتفالي يُقدَّم في الأعراس والمناسبات، ويُحضَّر حلوًا بالدجاج واللوز أو مالحًا بالمأكولات البحرية.,plat
2026-01-19,5,7,رفيسة: وجبة تقليدية تُحضَّر من شرائح المسمن مع الدجاج البلدي.,plat
2026-01-19,6,20,السفة: طبق يُحضَّر للمناسبات الكبرى، يتكون من شعرية مطهوة على البخار ومزينة بالسكر والقرفة واللوز.,plat
2026-01-19,7,36,السخينة أو الدفينة: طبق تقليدي يُطهى ببطء، يتكون من اللحم والبطاطس والحبوب والبيض والتوابل، ويُقدَّم عادة في يوم السبت.,plat
2026-01-19,8,20,بولفاف: طبق مشاوي خاص بعيد الأضحى، يُحضَّر من أحشاء الخروف الملفوفة بالشحم.,plat
2026-01-19,9,17,الدوارة أو التقلية: طبق تقليدي لعيد الأضحى يُحضَّر من كبد ورئة وكرش الخروف المطهية.,plat
2026-01-19,10,22,الخليع: لحم مملح ومجفف يُحفَظ مع الشحم، ويُحضَّر من لحم الخروف أو البقر أو الجمل.,plat
2026-01-19,11,8,مرغاز: نقانق حارة مصنوعة من لحم الضأن.,plat
2026-01-19,12,5,مشوي أو شوي: لحم ضأن مشوي على الطريقة التقليدية.,plat
2026-01-19,13,23,كرات السردين: طبق شعبي يُحضَّر من السردين المفروم والمطهو مع صلصة الطماطم والفلفل والزيتون والليمون المخلل.,plat
2026-01-19,14,24,الهركمة أو الكرعين: طبق رئيسي مشهور يُحضَّر من أرجل الخروف أو البقر مع الحمص.,plat
2026-01-19,15,33,دجاج معمر: دجاج محشي بالكسكس المحلى بالزبيب واللوز، ويُطهى ببطء في صلصة معسلة ومتَبَّلة.,plat
